Taluks,Population 2011_Rural_male,Population 2011_Rural_female,Population 2011_Rural_total,Population 2011_urban_male,Population 2011_urban_female,Population 2011_urban_total,Population 2011_Rural_urban_total,Population 2011_Decadal Change in percentage_2001 - 11Rural,Population 2011_Decadal Change in percentage_2001 - 11_urban,Population 2011_Decadal Change in percentage_2001 - 11_total
Gadag,89133.0,86750.0,175883.0,95439.0,95936.0,191375.0,367258.0,10.67,10.57,10.62
Shirahatti,37469.0,35823.0,73292.0,8817.0,8793.0,17610.0,90902.0,7.84,8.65,8.0
Mundargi,54343.0,52635.0,106978.0,12513.0,12406.0,24919.0,131897.0,11.5,22.37,13.4
Gajendragad,31508.0,30935.0,62443.0,24580.0,24469.0,49049.0,111492.0,7.92,9.21,8.49
Laxmeshwar,37213.0,35800.0,73013.0,18378.0,18376.0,36754.0,109767.0,11.29,9.99,10.85
Dharwad,110148.0,104201.0,214349.0,149725.0,148540.0,298265.0,512614.0,14.78,12.71,13.57
Navalgund,46934.0,44370.0,91304.0,12468.0,12145.0,24613.0,115917.0,7.05,10.85,7.83
Hubli,72980.0,69827.0,142807.0,0.0,0.0,0.0,142807.0,10.1,0.0,10.1
Kalgatgi,71205.0,66537.0,137742.0,8528.0,8389.0,16917.0,154659.0,11.2,13.2,11.4
Kundgol,75383.0,71459.0,146842.0,9423.0,9303.0,18726.0,165568.0,4.5,10.1,5.1
Hubballi Nagara,0.0,0.0,0.0,324793.0,320730.0,645523.0,645523.0,0.0,23.76,23.76
Alnavara,9396.0,9020.0,18416.0,8683.0,8545.0,17228.0,35644.0,15.5,5.76,10.61
ANNIGERI,23370.0,22654.0,46024.0,14170.0,14097.0,28267.0,74291.0,5.93,9.94,7.42
Karwar,37279.0,36392.0,73671.0,40969.0,40573.0,81542.0,155213.0,1.12,8.67,4.95
Joida,26167.0,25845.0,52012.0,0.0,0.0,0.0,52012.0,6.33,0.0,6.33
Haliyal,41212.0,39703.0,80915.0,12202.0,12036.0,24238.0,105153.0,11.73,17.35,12.98
Yellapur,29563.0,28647.0,58210.0,10250.0,10202.0,20452.0,78662.0,4.74,14.11,7.03
Mundgod,44708.0,38930.0,83638.0,12782.0,9754.0,22536.0,106174.0,12.17,39.34,17.01
Sirsi,62680.0,61346.0,124026.0,31222.0,31660.0,62882.0,186908.0,12.53,-3.75,6.47
Ankola,38103.0,37285.0,75388.0,15858.0,16086.0,31944.0,107332.0,-0.03,22.21,5.69
Kumta,59383.0,58178.0,117561.0,18321.0,18398.0,36719.0,154280.0,5.6,6.43,5.8
Siddapur,41169.0,41949.0,83118.0,7052.0,7152.0,14204.0,97322.0,-4.26,1.1,-3.52
Honnavar,73670.0,73485.0,147155.0,9526.0,9583.0,19109.0,166264.0,3.26,7.21,3.7
Bhatkal,55585.0,56261.0,111846.0,25168.0,24562.0,49730.0,161576.0,4.34,18.01,8.19
Dandelli,5391.0,5257.0,10648.0,27996.0,27629.0,55625.0,66273.0,34.27,-4.32,0.31
Shiggaon,70703.0,66471.0,137174.0,26032.0,24704.0,50736.0,187910.0,12.35,13.63,12.7
Savanur,62396.0,58558.0,120954.0,20754.0,19813.0,40567.0,161521.0,11.66,14.07,12.26
Hangal,118863.0,113433.0,232296.0,14308.0,13851.0,28159.0,260455.0,12.91,12.6,12.87
Haveri,100856.0,94879.0,195735.0,42744.0,41883.0,84627.0,280362.0,7.94,19.16,11.1
Byadagi,57013.0,53997.0,111010.0,15130.0,14884.0,30014.0,141024.0,8.53,16.95,10.22
Hirekerur,51649.0,49300.0,100949.0,9768.0,9423.0,19191.0,120140.0,7.84,20.91,9.74
Ranebennur,111083.0,104466.0,215549.0,60927.0,58805.0,119732.0,335281.0,3.31,24.27,9.93
Ratteehalli,49574.0,47126.0,96700.0,7328.0,6947.0,14275.0,110975.0,6.66,15.91,7.77
Siraguppa,94949.0,95439.0,190388.0,39297.0,39419.0,78716.0,269104.0,12.76,18.37,14.34
Ballari,103120.0,101266.0,204386.0,215810.0,212850.0,428660.0,633046.0,17.09,30.29,25.71
Sonduru,102420.0,97802.0,200222.0,31614.0,28377.0,59991.0,260213.0,22.42,117.25,36.12
Kurugodu,47177.0,47261.0,94438.0,10982.0,10970.0,21952.0,116390.0,11.54,26.31,14.06
Kampli,41230.0,41680.0,82910.0,19476.0,19831.0,39307.0,122217.0,13.14,11.1,12.47
Molakalmuru,64095.0,61392.0,125487.0,7954.0,7843.0,15797.0,141284.0,11.43,11.77,11.47
Challakere,158343.0,152247.0,310590.0,27588.0,27606.0,55194.0,365784.0,9.5,12.49,9.94
Chitradurga,138532.0,133610.0,272142.0,76031.0,75706.0,151737.0,423879.0,8.28,21.22,12.58
Holalkere,93964.0,91277.0,185241.0,11028.0,10991.0,22019.0,207260.0,1.12,51.08,4.8
Hosadurga,104605.0,102141.0,206746.0,14543.0,13827.0,28370.0,235116.0,4.97,26.16,7.14
Hiriyur,116034.0,113683.0,229717.0,28126.0,28290.0,56416.0,286133.0,6.39,15.59,8.09
Harihar,83306.0,80362.0,163668.0,46030.0,44472.0,90502.0,254170.0,3.65,3.14,3.47
Jagaluru,78288.0,76277.0,154565.0,8693.0,8564.0,17257.0,171822.0,7.23,17.04,8.14
Davanagere,124983.0,122025.0,247008.0,219776.0,215195.0,434971.0,681979.0,3.78,19.33,13.19
Honnali,62699.0,63416.0,126115.0,8887.0,9041.0,17928.0,144043.0,3.99,15.16,4.77
Channagiri,142027.0,138977.0,281004.0,10856.0,10457.0,21313.0,302317.0,2.56,15.13,3.35
Nyamati,41890.0,37985.0,79875.0,4676.0,4612.0,9288.0,89163.0,0.0,0.0,0.0
Sagara,69798.0,71124.0,140922.0,32475.0,32922.0,65397.0,206319.0,1.9,4.3,2.65
Soraba,95507.0,93970.0,189477.0,5623.0,5709.0,11332.0,200809.0,6.36,48.54,8.21
Shikaripura,93949.0,91401.0,185350.0,26538.0,26341.0,52879.0,238229.0,10.61,14.91,11.54
Hosanagar,55670.0,56711.0,112381.0,2838.0,3001.0,5839.0,118220.0,2.2,15.78,2.8
Thirthahalli,62789.0,64689.0,127478.0,7093.0,7435.0,14528.0,142006.0,-0.72,-1.89,-0.84
Shimoga,93244.0,91430.0,184674.0,162018.0,160632.0,322650.0,507324.0,8.1,17.6,13.96
Bhadravathi,94864.0,93880.0,188744.0,75009.0,76093.0,151102.0,339846.0,5.84,-5.95,0.25
Kundapur,103731.0,118026.0,221757.0,19727.0,20946.0,40673.0,262430.0,0.91,42.25,5.67
Udupi,27532.0,29674.0,57206.0,96797.0,99672.0,196469.0,253675.0,-45.09,54.55,9.67
Karkala,70269.0,77478.0,147747.0,15910.0,16771.0,32681.0,180428.0,0.73,30.12,5.03
Bynduru,58936.0,66105.0,125041.0,0.0,0.0,0.0,125041.0,5.27,0.0,5.27
Bramhavara,70183.0,77179.0,147362.0,12847.0,13863.0,26710.0,174072.0,-3.74,78.52,3.57
Kapu,45592.0,51932.0,97524.0,18003.0,19525.0,37528.0,135052.0,-18.25,255.38,4.0
Hebri,22604.0,24059.0,46663.0,0.0,0.0,0.0,46663.0,5.81,0.0,5.81
Sringeri,16044.0,16573.0,32617.0,1986.0,1936.0,3922.0,36539.0,-0.2,-7.98,-1.06
Koppa,39287.0,40602.0,79889.0,2459.0,2534.0,4993.0,84882.0,-3.41,-2.37,-3.35
Narasimharajapura,28712.0,29920.0,58632.0,3737.0,3721.0,7458.0,66090.0,0.78,-0.08,0.68
Tarikere,53676.0,53808.0,107484.0,17922.0,18020.0,35942.0,143426.0,0.9,5.38,2.0
Kadur,107619.0,106495.0,214114.0,28333.0,28541.0,56874.0,270988.0,-0.47,6.1,0.87
Chikmagalur,93219.0,93748.0,186967.0,58702.0,59699.0,118401.0,305368.0,-3.85,15.77,3.27
Mudigere,41772.0,43590.0,85362.0,5938.0,5980.0,11918.0,97280.0,-6.74,-35.26,-9.81
Ajjampura,46104.0,45058.0,91162.0,5720.0,5652.0,11372.0,102534.0,-3.03,9.52,-1.74
Kalasa,15392.0,15462.0,30854.0,0.0,0.0,0.0,30854.0,3.37,0.0,3.37
Chiknayakanahalli,87055.0,87565.0,174620.0,18528.0,18982.0,37510.0,212130.0,-7.2,67.5,1.2
Sira,129920.0,126284.0,256204.0,29058.0,28496.0,57554.0,313758.0,1.9,14.9,4.07
Pavagada,109381.0,107327.0,216708.0,14299.0,14187.0,28486.0,245194.0,-0.6,1.5,-0.43
Madhugiri,120086.0,118621.0,238707.0,14584.0,14575.0,29159.0,267866.0,-0.5,10.8,0.75
Koratagere,76749.0,75577.0,152326.0,7600.0,7665.0,15265.0,167591.0,3.4,11.8,4.35
Tumkur,150272.0,139982.0,290254.0,152925.0,149218.0,302143.0,592397.0,8.4,2.13,14.65
Gubbi,122876.0,121196.0,244072.0,9226.0,9220.0,18446.0,262518.0,1.89,9.8,2.4
Tiptur,81333.0,81873.0,163206.0,29949.0,29594.0,59543.0,222749.0,-0.5,12.1,2.59
Turuvekere,75553.0,76624.0,152177.0,8397.0,8420.0,16817.0,168994.0,2.9,3.9,-3.04
Kunigal,95485.0,96143.0,191628.0,17318.0,16837.0,34155.0,225783.0,-6.8,12.6,-4.34
Srinivaspura,88467.0,87044.0,175511.0,13608.0,13185.0,26793.0,202304.0,8.5,16.7,9.51
Kolar,125219.0,121729.0,246948.0,69910.0,68552.0,138462.0,385410.0,7.99,21.56,12.49
Malur,100706.0,96164.0,196870.0,20377.0,19673.0,40050.0,236920.0,9.86,43.99,14.44
BANGARPET,51968.0,50131.0,102099.0,48164.0,48814.0,96978.0,199077.0,6.25,9.85,11.05
Mulabagilu,101611.0,100048.0,201659.0,28877.0,28399.0,57276.0,258935.0,7.68,30.07,11.94
K.G.F,67460.0,65781.0,133241.0,60029.0,60485.0,120514.0,253755.0,7.22,11.52,9.85
Bangalore (North),48371.0,46355.0,94726.0,2390012.0,2228692.0,4618704.0,4713430.0,36.93,222.75,198.08
Bangalore-South,81043.0,73480.0,154523.0,1176042.0,1077596.0,2253638.0,2408161.0,13.44,36.04,31.23
Anekal,192053.0,160372.0,352425.0,89953.0,75197.0,165150.0,517575.0,46.14,183.43,72.85
Bangalore-East,49485.0,44979.0,94464.0,653977.0,584531.0,1238508.0,1332972.0,8.13,7.6,7.64
Yelahanka,93304.0,82165.0,175469.0,248421.0,225523.0,473944.0,649413.0,68.02,62.79,52.87
Nelamangala,83242.0,79848.0,163090.0,24262.0,23537.0,47799.0,210889.0,9.02,89.02,20.6
Doddaballapura,101291.0,97255.0,198546.0,52236.0,48812.0,101048.0,299594.0,4.2,29.92,11.65
Devanahalli,75798.0,70907.0,146705.0,32044.0,30873.0,62917.0,209622.0,10.82,18.83,13.11
Hoskote,111038.0,102800.0,213838.0,29261.0,27719.0,56980.0,270818.0,14.9,56.87,21.75
Krishnarajpet,117259.0,117274.0,234533.0,12982.0,12964.0,25946.0,260479.0,3.93,14.91,4.93
Nagamangala,84798.0,85323.0,170121.0,8884.0,8892.0,17776.0,187897.0,-2.63,10.74,-1.51
Pandavpura,81866.0,81087.0,162953.0,10172.0,10227.0,20399.0,183352.0,3.99,11.41,4.77
Srirangapatna,73151.0,72905.0,146056.0,16789.0,17346.0,34135.0,180191.0,4.88,43.85,10.56
Mandya,139945.0,137850.0,277795.0,68662.0,68696.0,137358.0,415153.0,1.23,4.71,2.35
Maddur,130316.0,129969.0,260285.0,17563.0,17584.0,35147.0,295432.0,-1.5,32.53,1.6
Malavalli,123908.0,121756.0,245664.0,18790.0,18811.0,37601.0,283265.0,-0.12,4.88,0.52
Sakleshpura,51568.0,53713.0,105281.0,11558.0,11794.0,23352.0,128633.0,-5.59,0.75,4.25
Belur,80179.0,81795.0,161974.0,11127.0,11357.0,22484.0,184458.0,-0.96,10.03,0.38
Arsikere,130772.0,131351.0,262123.0,26956.0,26260.0,53216.0,315339.0,1.61,15.12,4.06
Hassan,108733.0,109949.0,218682.0,88383.0,89101.0,177484.0,396166.0,-4.2,24.92,9.7
Alur,38954.0,39760.0,78714.0,3299.0,3242.0,6541.0,85255.0,-1.55,6.23,-0.95
Arkalgud,93829.0,93946.0,187775.0,8468.0,8342.0,16810.0,204585.0,1.59,9.76,2.26
Holenarasipura,76664.0,75549.0,152213.0,14901.0,15073.0,29974.0,182187.0,2.62,9.84,3.96
Channarayapatna,114884.0,118012.0,232896.0,23392.0,23510.0,46902.0,279798.0,-4.59,26.41,0.61
Mangalore,31402.0,32525.0,63927.0,289309.0,293488.0,582797.0,646724.0,25.46,30.53,12.66
Bantwal,122929.0,124705.0,247634.0,51878.0,52385.0,104263.0,351897.0,7.75,22.3,9.36
Belthangady,124672.0,127130.0,251802.0,7295.0,7492.0,14787.0,266589.0,-5.27,10.8,8.15
Puttur,61945.0,62666.0,124611.0,30304.0,30570.0,60874.0,185485.0,4.12,26.54,8.19
Sulya,53428.0,54250.0,107678.0,9698.0,10260.0,19958.0,127636.0,2.07,10.71,3.18
Mudabidri,37328.0,38617.0,75945.0,14394.0,15037.0,29431.0,105376.0,-25.46,30.53,12.66
Kadaba,55098.0,55313.0,110411.0,4769.0,4777.0,9546.0,119957.0,4.73,10.7,4.73
Mulki,23225.0,25467.0,48692.0,11637.0,12874.0,24511.0,73203.0,-7.98,49.5,5.6
Ullala,26688.0,26629.0,53317.0,78715.0,80750.0,159465.0,212782.0,-35.85,56.61,15.05
Madikeri,56543.0,56659.0,113202.0,16423.0,16958.0,33381.0,146583.0,3.26,2.65,3.12
Somavarapete,55140.0,57134.0,112274.0,3363.0,3366.0,6729.0,119003.0,0.58,7.48,0.28
Virajpet,45161.0,46173.0,91334.0,8724.0,8522.0,17246.0,108580.0,-1.29,12.02,0.4
Ponnampete,41674.0,42871.0,84545.0,4195.0,4111.0,8306.0,92851.0,0.0,0.0,0.0
Kushalanagara,35643.0,36533.0,72176.0,7742.0,7584.0,15326.0,87502.0,0.0,0.0,0.0
Piriyapatna,116471.0,109920.0,226391.0,8284.0,8401.0,16685.0,243076.0,8.15,11.79,8.39
Hunsur,117516.0,114582.0,232098.0,25430.0,25435.0,50865.0,282963.0,10.5,15.86,11.4
K.R.Nagar,108639.0,108213.0,216852.0,17900.0,17905.0,35805.0,252657.0,3.97,16.88,5.62
Mysuru,136294.0,131247.0,267541.0,509022.0,505205.0,1014227.0,1281768.0,11.81,26.9,23.42
Heggadadevanakote,83467.0,81536.0,165003.0,7184.0,7129.0,14313.0,179316.0,1.74,113.68,7.22
Nanjangud,168030.0,166294.0,334324.0,25008.0,25590.0,50598.0,384922.0,7.15,4.7,6.85
T.Narasipura,120621.0,119919.0,240540.0,25637.0,25858.0,51495.0,292035.0,-2.15,55.26,4.67
Saraguru,36462.0,36503.0,72965.0,5635.0,5790.0,11425.0,84390.0,0.0,0.0,0.0
Gundlupet,97094.0,97871.0,194965.0,14015.0,14090.0,28105.0,223070.0,4.4,6.7,4.69
Chamarajanagara,143772.0,144152.0,287924.0,34783.0,35092.0,69875.0,357799.0,3.94,15.39,5.99
Yalandur,36787.0,36503.0,73290.0,4392.0,4387.0,8779.0,82069.0,5.63,2.26,5.26
Kollegala,59062.0,58734.0,117796.0,28546.0,28603.0,57149.0,174945.0,5.63,2.26,5.26
Kollegala(Hanur),88169.0,83673.0,171842.0,5611.0,5455.0,11066.0,182908.0,3.42,2.45,0.97
Gauribidanur,123061.0,120061.0,243122.0,23988.0,23889.0,47877.0,290999.0,1.06,56.78,7.33
Chikballapur,76725.0,72159.0,148884.0,32129.0,31523.0,63652.0,212536.0,9.35,15.8,11.2
Gudibande,23463.0,22928.0,46391.0,4615.0,4826.0,9441.0,55832.0,7.83,7.2,7.73
