Taluks,Population 2011_Rural_male,Population 2011_Rural_female,Population 2011_Rural_total,Population 2011_urban_male,Population 2011_urban_female,Population 2011_urban_total,Population 2011_Rural_urban_total,Population 2011_Decadal Change in percentage_2001 - 11Rural,Population 2011_Decadal Change in percentage_2001 - 11_urban,Population 2011_Decadal Change in percentage_2001 - 11_total
Shidlagatta,82874.29173042873,80135.99119176989,163012.05593808083,26067.68264926141,25098.78376109858,51160.70868485515,214175.091284655,9.707880946295344,18.59511734637888,5.829152517797893
Devdurga,125538.84348578443,126139.42277638377,251675.0797324418,14623.51887642037,14299.566182354649,28924.78387603033,280598.52173451823,27.476383969453156,39.166473095493906,23.71675701990519
Sindagi,59594.6365673269,56126.57208494566,115722.78917967573,18887.960377341868,18351.582845763198,37225.29401832338,152955.90276550676,27.422120428805428,36.049442305462165,18.52158263664067
Kollegala,59060.23445779471,58727.88589438608,117792.7344094614,28545.60528475855,28605.10332892467,57154.40490143491,174948.3246100845,0.5112112684629024,-7.257705598173664,12.761216175003444
Jevargi,77651.0361911896,75774.12443516111,153412.17341844723,12980.253322178942,12710.388340295009,25692.513348510187,179096.41015456288,30.10758982187449,37.78651100150466,22.880425575348113
Chittaguppa,53692.957319411944,52076.86765041852,105770.13822740784,12911.161533586772,12391.158235808098,25301.748338080415,131065.41076438777,-12.228506235868913,-1.1476370830235805,20.402476433065804
Bantwal,122931.06988631225,124701.14872721769,247629.2051785454,51874.51722101112,52388.20663183951,104264.78751251324,351898.63353955443,8.241446888876062,23.921816047454605,5.582200896817774
Pandavpura,81868.51759217148,81088.01169672608,162948.5211564993,10173.205008080442,10231.020304536405,20403.714900498566,183347.82805028438,1.7619718213259694,7.821085509310816,6.396542187090477
Gurumithakala,60791.85116720306,61861.098897789285,122646.1531145926,10539.651703642887,10087.65122854879,20613.30797215506,143258.96938269804,5.698616616613309,-7.707142360522993,-5.42005412573986
Kitthuru,31911.88704795851,30879.55196573054,62797.34450255391,14874.379269035919,14653.509016299682,29532.88280664786,92323.01682501232,12.297716911676197,6.7857086039155075,9.742815714817347
Kundgol,75379.80378681626,71467.66016720163,146844.55955693268,9418.508483525913,9308.680591500075,18730.64394783696,165566.93620862335,2.678850101530911,13.14123052314028,6.317138972852948
Bantwal,122926.53840937206,124702.56941969605,247633.51740502813,51876.49590352425,52389.20585422202,104265.62204674513,351892.0272278044,8.472098244228988,26.15881355374301,7.3449768189103795
Bynduru,58937.21220063114,66102.68623775063,125040.47163658316,3.1125836165975187,-1.497395391707962,2.9387261341702615,125037.63653117865,4.656017941689982,4.821347026203133,8.108448491856812
Nidagundi,36386.205237452836,35459.2769166332,71848.632181666,7719.312031855951,7565.407918504386,15291.7062501982,87136.69967721964,42.93576833169442,13.228437494047668,34.21828635576173
Nidagundi,36387.57550025815,35452.77097873963,71853.93102692366,7724.818093656691,7578.277426033595,15287.388653263493,87142.71781501766,45.81432459521124,20.678269423832127,40.825506312749305
Bantwal,122929.04114667856,124708.45726661586,247626.1385926204,51882.475693821405,52382.09532003027,104265.99529373327,351896.9857193107,2.7846394167430852,21.56915102779561,8.298295557660467
Ilkal,48360.20556890837,47548.747131775686,95914.58894603387,36148.37162852101,36058.74340157869,72211.85418162716,168121.06694099325,1.325705005927901,37.57551895548604,14.864489563424982
Holenarasipura,76663.146868149,75547.54161773375,152211.5014988446,14906.28460274825,15070.107632734394,29982.345088594622,182194.93020157338,8.033310374877653,7.558868429121985,1.6941289909612927
Manvi,75340.9438430168,76876.17637349087,152218.07160862038,13695.198599111018,13482.399352504652,27170.12035870321,179389.98326446686,6.115461430211136,25.81193011112839,14.863816228790903
Sagara,69794.13663194822,71126.61035031306,140924.5656651124,32481.496827403436,32919.79289224898,65396.45519891398,206318.44167072463,2.032398392666589,6.128360503790562,4.140599487313412
Hubli,72979.7092176958,69829.75848078055,142811.99817693885,3.832677941949556,-3.6203645547676424,-1.7965737780269322,142810.91402857698,11.421339842495463,2.8583291467762066,4.19986773147877
Ramadurg,113561.1168953654,110162.58052489361,223725.496517047,17340.862649616796,17458.49240904806,34799.77524341755,258524.9096809773,23.92282941101998,-4.2105246022295,10.267043455538003
Yelahanka,93306.27065369014,82161.82870533934,175471.93720931085,248425.03944582443,225520.49696174235,473944.4870498265,649409.4440881978,64.70120806385741,60.307555426327845,55.606783884713906
Laxmeshwar,37213.53816225037,35801.20497497894,73018.40622817486,18378.090573638932,18376.595843522213,36751.073425030154,109774.58436673172,15.078349691489198,11.616932249537637,8.10994741446925
Hagaribommanahalli,72268.98949140542,70052.03019990765,142317.92170362824,17422.275333193335,17403.705202821802,34810.445208560806,177136.8338410375,14.768704105627977,18.940881731032842,21.8565915680533
Kadaba,55099.95654172001,55311.41973485519,110412.4314560728,4764.709663287912,4768.631051605467,9542.282294523546,119956.5668713998,3.372283763246096,11.850429437690668,10.913302941272104
Alur,38944.39700992577,39761.968921838816,78704.96684652315,3293.777346953369,3240.997218350027,6543.924446349505,85255.73087387893,-2.0774300201458127,-1.6385028812810813,1.4302933516001073
Hunsur,117510.12863136716,114578.28019493476,232095.86994018577,25434.516080045887,25428.10971387062,50867.91923713095,282965.0926442399,9.960746326511792,13.373394155478906,8.39846352038274
Hosadurga,104609.20980625058,102137.85381854702,206746.78373244987,14543.662914362814,13828.690189258403,28372.55181946104,235116.87510936332,6.968141921240358,30.889779961690987,9.904408061901378
Kalagi,50107.69124904473,50768.59411828204,100885.44433915323,4589.253281619452,4545.174937775395,9145.199419438517,110033.23075024037,12.047955469015411,-5.677392675770446,8.218313322516735
Bagalkote,86842.30541798529,86335.66455591572,173182.6436509613,56379.38989983539,55561.125530285775,111927.28276683214,285115.7287671533,9.306224481733214,22.67318494515942,16.874838375094612
K.G.F,67454.73545342233,65777.55534794506,133236.6715847088,60030.92828517271,60487.3110974483,120516.48632177203,253754.32207058018,2.866227470360279,7.358251954155845,3.1617385872870525
Hospet,56148.01551754777,55450.516684019865,111613.87653874641,123123.8247134758,124528.95736121462,247661.42862668238,359264.8207607312,32.403677081403046,21.200777827607336,27.057953269977506
Kolhara,33047.78349122022,31978.664460998687,65016.485794284694,8466.758280872538,8102.845260154091,16572.766409563854,81585.0803979713,15.67289249040002,39.43407872214131,25.69348126286411
Hebri,22605.178577939965,24056.457496496358,46663.39199160271,-2.3986551434866357,3.878717825541438,2.3445021398463677,46665.1538102521,4.632429680769905,4.683267993474608,9.245586044326142
Srirangapatna,73154.04458352327,72903.28435954788,146060.41393948707,16793.444959159904,17343.360807830344,34137.39507265978,180194.74328452177,2.2392015422667493,40.37035878324392,8.58898960783004
Kumta,59384.46172901549,58177.410848713946,117568.2243326718,18324.36837160603,18399.20128165949,36714.644168187086,154281.48803271496,5.475616331466659,14.589488764904475,6.546411813671821
Hiriyur,116033.81298617275,113679.23973689991,229720.08713601006,28125.955352845303,28289.088107560925,56414.39808146292,286135.41370244976,2.401749994955675,23.08000556717633,5.427424737081907
Yelahanka,93297.74948179186,82168.66465669207,175471.10974117738,248419.67374485062,225525.42716152887,473944.79919536755,649413.817729651,68.3894512835988,64.255082090336,55.60531002898248
Ullala,26690.06431092648,26627.09889824293,53316.81770012939,78721.44551415615,80747.85029116047,159469.96496466725,212774.49992672083,-40.288812844261855,52.555033508254155,11.972426671692146
Tarikere,53678.18964779559,53809.31248761245,107488.21671785122,17926.66624089856,18019.83701235419,35946.25550712024,143426.92666908685,3.2136104401241696,2.984336375931938,6.11095107570285
Shimoga,93243.94186922055,91430.63208614047,184671.73713870952,162014.31222087468,160632.0381061089,322654.46768515295,507325.2531520366,3.1773428360574334,21.182318295263286,18.781476390809537
Nidagundi,36393.51606120693,35459.682163472,71847.47329573659,7718.061889189472,7570.163395181318,15288.389064578221,87141.83674125759,43.12596776484725,18.64529551267071,32.665844372300704
Srinivaspura,88467.39839394827,87039.96890559317,175507.29073755725,13603.743944685077,13184.259118852331,26801.21709725466,202303.2380556576,1.3484752670707634,19.94584895877094,3.747863032690669
Joida,26164.589135811195,25841.300602372277,52015.27003318963,3.943534519375297,-5.9237225880433035,-2.5406288126056977,52008.28942633915,0.939930995066772,-9.770614807721214,-0.7960353995917901
Kanakpura,102790.21786551813,99461.51256529402,202249.38441870094,27511.74003509283,26500.77143167675,54009.23862798509,256266.1184317721,2.544329570733491,14.65975374113992,4.655056133310341
Bijapur,72842.95785184695,68378.7764282182,141232.40305788617,165169.6732660313,162251.34763508575,327418.737435497,468658.61506213254,30.188613918479604,21.78446960228573,28.855378488415262
Mudigere,41775.20875844239,43584.42144605756,85355.60210871037,5931.322541294855,5976.061265180031,11908.848595883992,97283.06675370675,-9.186506326635573,-42.00470417972835,-1.594280404329588
Hosanagar,55667.715275832896,56712.41067060681,112378.4046397826,2841.014387718854,2998.0040827672174,5845.078134674226,118228.690740489,2.042845770558305,10.879075738246566,0.12462806489792122
Chittapur,86997.08035138347,86708.25124579419,173699.0685201251,34833.82647398361,34446.82634401607,69284.3252317826,242984.33971593803,18.815747223607975,-1.5655265919291255,7.421942720717749
Bhadravathi,94863.7521106896,93874.25276094337,188746.6252718054,75012.9843986088,76102.25379531232,151103.6776268519,339853.26609366294,12.904521232478253,-8.864444394683675,1.2945423986922426
Yadgir,87643.04802807316,87725.00085149589,175376.78089525606,39738.654367460076,39993.767036147285,79720.52489881037,255102.90918835878,18.72063601558244,32.41016426444543,24.008862091193265
Davanagere,124984.30081556832,122026.5884181074,247010.4321708454,219776.80734943002,215195.0742506761,434968.7845652969,681980.4979974787,7.633353529929247,20.93952355477451,9.49233523017054
Mudhol,98934.76225175183,99059.92039036038,197987.23486727267,26066.808225705285,26136.93043753978,52197.60477428683,250195.27256516262,10.017381356874807,22.240706644907466,25.75025568889231
Bilagi,71346.25221736559,71156.73994211978,142503.6964902762,8804.927191781522,8980.464023006478,17792.90995974778,160301.90550004723,10.787485676561621,11.84284525714177,11.244203422505738
Kudligi,100004.89892185462,95892.1090450139,195896.9543972437,13432.95445646058,13256.595879618706,26684.98902450992,222570.92851204774,15.80388504038584,20.590250507059686,13.886593315847348
Hulasuru,19557.36178827578,19074.135388967527,38636.813629531236,-0.028425969711423082,-5.587585562297209,2.010368409226664,38624.14468116917,-17.99663112407482,-5.664469098188528,10.778568534223751
Ullala,26689.677465222034,26624.558226901547,53318.00692372689,78718.83213651417,80746.32379966865,159460.22405441987,212779.45676326225,-35.231026867426394,51.579052797526074,16.676719216885527
Hirekerur,51645.43410306613,49297.23798524123,100953.29330714268,9772.58375490722,9427.796707740192,19193.03939343044,120137.5585998629,4.960431994378604,20.091384706311437,10.387918475348753
Arkalgud,93831.64003706105,93949.61222513454,187770.68317183206,8458.618752177867,8333.528994648726,16812.052484460408,204588.04182045834,-5.2042997081516535,8.14011029871493,7.184386777241727
Mysuru,136296.04230019986,131244.62786010245,267538.7667011822,509024.974145872,505203.19687566144,1014223.4671529114,1281762.7133092394,14.067771273041258,29.429805179425585,24.02343074914504
Hunisigi,81228.18743987137,78733.30165862892,159961.39112925608,-1.3105440818013667,3.2425450321746156,-3.1153249899880233,159948.72955955728,2.398005276940972,-7.7138755445508425,5.176953673622124
Chadachana,54725.173408105,51143.60441115711,105860.28649149924,8333.275375875553,7999.768978640022,16345.48460545405,122203.56047445058,19.55451513660651,24.378794661215146,16.351031614873875
Nagamangala,84795.17214435784,85326.85988839618,170119.49133490794,8883.575768714189,8887.625847645513,17777.268132755056,187892.88560236577,1.7379384283424804,11.245557725072857,3.4387664828132127
Khanapur,113399.4234983473,110582.16392407035,223987.8175096242,17198.340915446435,16905.951317598792,34105.92369851132,258091.47515443116,4.02168069113562,46.68304095710103,7.944851766389553
state_total,18693131.50169332,18308311.46882009,37001443.62207697,12273512.150360784,11820331.611441216,24093849.815126263,61095302.615175776,5.698243884488677,30.38209043065675,14.602669459037973
Honnavar,73668.16856482039,73483.25272315854,147160.9512068867,9525.36622852601,9588.39657544731,19107.907242192297,166265.9838899323,-3.2741415440575405,9.851725005052362,3.99116305492388
Bangalore-East,49481.36533613646,44981.56918764478,94468.07726259097,653976.5605200173,584531.6262506256,1238511.542495546,1332974.1372161955,6.468833998741847,10.524275996680636,8.677212089207337
Gulbarga,99220.92280353038,95022.67179730917,194242.4170702937,276556.9890836501,266597.4974494381,543141.4618682415,737389.6315518286,25.075697288548557,26.152517441619818,23.678380431182475
Arsikere,130767.3416792909,131346.19456590223,262124.43163692098,26958.24992198432,26257.136500209126,53208.47949785967,315343.60595707694,8.315896276646974,13.156607925857735,6.99501410733592
Hoskote,111038.374838954,102799.59257453262,213836.8720710071,29264.273010006513,27719.67240184444,56980.03364477195,270823.162473066,22.88014883018864,57.73273810667584,21.197019865371782
Ballari,103116.51952295567,101263.24048642685,204389.7767493595,215807.49063335173,212851.7987737479,428656.9961660583,633045.3741564172,17.32917149571162,31.11350615241528,21.977242871821613
Doddaballapura,101287.57476978487,97257.37614650087,198543.37374993658,52232.793489224256,48816.22225777715,101050.3947851143,299592.9243591417,8.588099495688372,33.160418672192144,11.00638583848448
Aland,140002.77197971963,131925.5480038635,271933.006313904,21889.48521243964,20489.832139320915,42372.12875316302,314305.1580013762,7.262655587601158,19.565990039851922,20.62675817271951
Yelahanka,93302.46502646168,82166.14508487027,175475.67844511694,248418.9258815899,225515.5000894334,473941.9901730333,649416.7643025006,70.52297201152078,59.95997413908997,45.85205291469312
Sagara,69794.25723201972,71127.53996921184,140922.14337083796,32475.764438792572,32922.3538646707,65400.953699869104,206317.6440954635,1.2058702389067775,-0.5272601227454752,1.380814861256407
Humnabad,80030.99205614049,76766.59150677339,156809.4352734269,22795.0265996888,21684.32239633578,44491.59962400166,201288.48588684946,8.090670607198227,22.940698765392536,5.320845026746964
Alnavara,9392.754200858248,9023.473776511295,18416.123157335463,8680.95447114678,8540.761858788137,17228.811647704646,35642.38002749068,10.483716193431842,4.767587010563937,18.83019567072068
Arkalgud,93827.82925775897,93951.97843953484,187777.19166677934,8462.069571083188,8340.646119633082,16814.264739406706,204589.8364185111,1.4207092099717287,3.275021411243384,3.713971910390848
Kukanuru,46756.252997128126,45835.49911900773,92595.5651097535,9079.085562039894,8958.735968965453,18029.9229738037,110626.11510525244,10.526109000948242,10.84773201008479,3.8608082870668614
Shirahatti,37461.937619793396,35815.17247342268,73298.0494017013,8817.198161752072,8792.396098023484,17611.24531020206,90904.29340090198,14.284318929936736,8.783358138436638,7.553366610051786
Piriyapatna,116468.79076233467,109923.40950438377,226391.9719923028,8283.672696789858,8400.63560840942,16680.83291662961,243079.84073514582,10.255457721407927,16.51429990005404,3.7712316120193785
Chincholi,94790.91114322696,94158.74961693073,188943.01050510025,10853.019629492122,10049.537983012167,20905.844081413936,209844.74695151052,17.556916030935163,20.940046491800338,14.005951625765224
Hangal,118863.99076627521,113434.60410480632,232293.40338506224,14312.763342261516,13855.25606483943,28152.975204796443,260451.5545380196,13.653869006606296,12.55303613029485,12.778877813411505
Hiriyur,116037.43840463433,113684.98083889556,229723.9378447201,28130.62098329915,28294.226396554914,56413.934450754256,286125.90310536936,14.24349903322362,18.80241052090971,12.305993474831137
Magadi,84221.57438229604,82903.44072308847,167119.173796757,18370.990705828222,18359.553275547536,36716.23877004279,203842.694600204,-9.39617331107755,43.32314956050508,-3.6541405496833503
Kadur,107621.21681412449,106490.25631867106,214109.42602854516,28342.045306259377,28546.227568107315,56883.5601015404,270989.3754887945,-8.507920250048727,0.5704147114051077,2.324692871520993
Chincholi,94784.57228585826,94153.51262550788,188946.60741986957,10853.286939277003,10048.31702443427,20902.789683697836,209843.40472547637,12.830920279809355,19.71189574088991,14.946872096000337
Shahapur,93205.32598042984,91726.62729091443,184930.72303693322,35214.308017430434,33731.06875752034,68931.3952139305,253874.52188330368,21.36837358710472,3.740668605871061,31.14516702798713
Ankola,38098.581718367466,37282.591021522,75393.83872223049,15853.32615137258,16087.515479066244,31944.90602835887,107332.41905349799,-7.305907334653309,25.050014342087614,6.863023077604249
Hirekerur,51644.814102405355,49300.002404134386,100941.2030143036,9769.246337591818,9423.651977666776,19194.238931097338,120141.39132466851,11.179612661376058,20.604629734102033,9.209476010695909
Chincholi,94780.55180747682,94162.50944587281,188942.28863662167,10845.866437793211,10045.739258200243,20902.660715554775,209839.28688218936,11.767077277965994,19.459542514831146,19.369261287639723
Manvi,75341.79685046639,76877.93729939949,152220.71606844125,13692.838556306004,13475.453752194217,27166.169784309786,179387.02511037313,10.820750277925546,27.964099585288853,16.454070557891583
Holalkere,93962.15159144733,91268.89994275627,185245.4332268979,11022.047694758076,10985.52956410397,22014.135420818213,207258.20601204093,-1.6709487967633354,47.14102974273395,1.6959490897359162
Ratteehalli,49573.02507020501,47129.04255003986,96701.96154467862,7330.076116984477,6952.052700838275,14284.003637551099,110965.88705079848,4.738240568907151,13.009917211379584,15.353091518417223
Devara Hipparagi,50732.67446137291,48548.73722595166,99272.11473920183,8468.056180449126,8084.009328206329,16554.42553270638,115829.15435024418,5.189064433830727,47.9772077671073,13.218721480709485
Mundargi,54343.015191999046,52634.90790176289,106982.94710531106,12512.580216928234,12411.901185695131,24925.73280989896,131904.40840878646,11.181802474008638,24.020495252365237,10.7015157352051
Madhugiri,120084.05058603782,118624.17051465223,238709.4891142737,14586.729870771758,14575.14086091943,29158.09702854512,267865.7403956933,6.0701025343829915,7.326417493698345,-0.5652224888045811
Ullala,26688.204093712007,26630.163244102878,53318.36093302694,78715.72998237447,80752.43198895584,159469.172657191,212783.1036235782,-37.33328835294108,48.83224278122975,19.895609803025593
Mudhol,98935.45347478072,99062.24400214436,197992.96120041082,26071.26354670434,26134.15922133333,52207.43462658378,250194.10159702803,23.88660003477652,19.749902558513405,10.67366894801689
Hassan,108736.00052607023,109944.97017817786,218678.68688786004,88382.99298926567,89105.0397642421,177481.34345677565,396162.1063385973,-10.746562725180574,24.902984726284277,12.355849895573563
Jagaluru,78285.55371610672,76277.62782501327,154566.0953411443,8693.682370313052,8558.693113729729,17258.877557990858,171814.3663540307,7.753843597679152,14.418637830360765,-0.9136600796962888
Bidar,129623.46100496264,124294.19464759414,253918.99990797663,111468.44810719427,104550.14592738822,216018.8122971387,469939.4190230255,14.368122259495184,27.685018440787566,19.442315947447163
Kundgol,75385.84927835273,71459.02217713022,146844.3259033709,9425.289357745245,9301.68115216117,18730.589548718694,165572.97842836397,2.2170297967753454,11.453328758491853,10.015091874790375
Kanakpura,102780.05722147613,99465.27212239082,202244.00346894498,27513.400146468597,26504.358137049436,54005.9042770083,256258.62856260984,0.9173367186220123,15.048367110777976,0.34557968986903953
Mudigere,41767.73705400683,43588.01168680029,85359.66744008509,5943.425296443536,5976.366018326882,11918.41959820239,97282.15334475125,-3.3943558665971203,-38.015930403455336,-10.9511445795747
Siraguppa,94948.52843718098,95443.64734277558,190390.36395721458,39300.703674978955,39420.90540123643,78719.09981919486,269100.4276483987,8.771042311420896,17.261077589302456,9.466057866582858
Hoskote,111040.21921800966,102803.64860278669,213833.4791539626,29259.31026892249,27716.313977007554,56980.80261244721,270815.76594966947,9.848290766333072,55.72713167423324,20.80107914098744
Joida,26167.629965326476,25844.576096764737,52012.112865009236,-1.2904086559661465,-2.36530812441511,-3.3599280675695455,52005.109062698306,5.880833152201843,1.910652285449986,7.811691589010422
Nelamangala,83240.30032953208,79838.73540329754,163083.24632757687,24266.239035342787,23546.70586934882,47806.757078693125,210888.3066222248,11.866686044670386,90.81230548379808,22.136169379270953
Sakleshpura,51565.5582037456,53710.09207238285,105282.72696847365,11560.953738651975,11790.132794367053,23354.24726153231,128632.66221903218,-3.551373782664239,3.7692188398486977,8.591465559823428
Mudalagi,92819.82901769847,91818.04401742284,184649.6251802324,14698.901801666922,14429.685906584868,29127.586679738408,213767.06773300533,16.002266000745852,-6.611904361156643,15.551630433520547
Pavagada,109379.70228200057,107323.84320657476,216707.6152754991,14301.286540574732,14181.978422017568,28488.216535865486,245192.35364935012,0.9750296928186192,6.451480039736621,-0.43367418000868635
Ullala,26690.45972085406,26633.173943660437,53315.61599675552,78718.95250909994,80749.83449545185,159462.77700430388,212783.25529956343,-35.886680542493586,60.76725330762953,21.928053701460716
Nyamati,41884.236800476734,37986.55189824547,79876.39275479785,4674.522785868898,4613.441032326628,9287.913263593071,89160.91144905941,8.074258207086158,2.7635468123103664,-5.347483690281544
Sringeri,16049.288432906034,16573.757161796253,32621.174291297037,1992.1059098773528,1935.6962754020012,3918.5297387947835,36542.50906221493,-0.7634581527802495,-8.92746249611775,-0.1933251692561604
Sakleshpura,51566.88865240788,53710.40531916893,105287.4770821205,11555.053460510717,11794.466100185926,23348.215414783925,128630.098081405,-6.979543131664167,-3.361038548306099,0.9337141164298526
Basavan Bagewadi,61760.06048545478,59761.944883091805,121516.71451060839,24364.87445695044,23940.97438351249,48310.245856131245,169818.97809652044,1.6461075459718524,16.776541174332486,4.242232846926266
Gudibande,23462.063232812285,22928.7197938805,46390.714659920886,4606.909406530104,4820.514901301493,9442.540006454072,55822.143849137436,8.76801195483446,14.730011424984648,5.6856405187261
Karkala,70266.73513638366,77483.57912827596,147749.77320004615,15909.202931385866,16774.887489792174,32677.00056661851,180432.30115622067,1.2621461738266886,26.75079520756046,0.2677294706496358
Soraba,95513.21783043206,93972.3683441855,189480.6030689493,5622.551890216283,5708.788827554736,11332.943864624072,200809.4930096834,4.740371603893777,50.71681831977463,11.554966730822516
Bangalore-East,49487.46596743685,44979.042702813174,94461.59048792547,653985.4054914957,584534.1675833177,1238504.4089624067,1332975.603641969,10.090506064842476,10.59345452861417,10.018282903939621
Nyamati,41891.13022386286,37983.42743742639,79879.10754823303,4675.588242374678,4616.089975755238,9289.90018570575,89162.60241149212,-6.791930549625601,4.501232085557118,3.5604195034790855
Bhadravathi,94863.30753513043,93878.24502635379,188743.50998560083,75008.90989003767,76095.52628834842,151100.04607480063,339849.89367522276,10.72395882598044,-9.540692302534417,1.1158682501167778
Nidagundi,36392.82001559821,35456.76762626615,71842.14311167458,7716.878229414631,7567.660130359473,15292.634546749667,87132.17924434235,39.704812211830856,15.787620651419076,39.53258475418047
Gokak,146788.73200384108,145008.53902391525,291801.5692509723,53312.010183398095,53284.49330520864,106587.87884363522,398387.8542912053,16.92436922469608,10.485017682123441,12.771534885008386
Udupi,27528.67766896501,29677.728746760455,57208.30805146906,96797.4099427573,99673.1230628844,196465.5806984145,253679.70724918973,-47.54728905020301,53.67134259038223,6.272861227020814
Sirsi,62683.427815072566,61344.7563142399,124024.24868030088,31219.13674935337,31661.955391536736,62882.05864942746,186910.84266248893,15.980284967075313,-5.199492242429881,3.685694393279319
Srirangapatna,73154.01768793123,72903.96058479288,146054.57366680907,16786.17652382118,17349.162993248825,34143.48252952351,180196.8397516996,0.05395855796473281,51.83988217547567,12.035191056798336
ANNIGERI,23366.931692252198,22656.5987821933,46023.6248355071,14175.295523218736,14093.759158255081,28261.04789495837,74292.84862699667,5.874009535695936,3.283172893353563,3.499004396736786
T.Narasipura,120612.72752156325,119917.31971740429,240539.22149385768,25642.573190451854,25853.06202350643,51494.00478184911,292035.33618249715,-3.205787756829883,63.51668971236302,3.4229475755493732
Gundlupet,97095.98293994737,97870.45390176268,194967.91774021677,14010.063061670713,14086.11185506379,28105.067742077466,223072.31085089644,10.87543513850843,6.990924464147922,7.630582413357331
Mudhol,98940.74821869357,99062.84948445494,197995.6104663209,26069.64759851926,26130.4695027671,52206.4923274689,250196.34844086636,14.992580237025287,16.089489553326604,19.646830710031423
Mundgod,44705.48055017514,38927.34224237422,83640.79284697698,12778.079036333897,9757.855118199017,22535.239300478777,106174.3457295867,17.99529698512042,45.41023788654767,11.446842977017456
Mudalagi,92831.70982285867,91815.49355893442,184648.39401551342,14699.174933993292,14433.435430132065,29128.80237997851,213774.35899725775,19.42544990063493,-5.046250036089356,9.581974577545843
Koratagere,76753.24672354289,75571.74493139722,152328.6534878086,7597.939017829844,7659.609700732941,15263.760595878126,167592.00069695772,6.529211066648553,17.947928287848836,10.25033667999092
Channarayapatna,114879.54087714016,118009.51062431665,232893.33728356397,23387.810504107976,23513.477803776088,46901.26955161815,279794.47760458983,-4.404903257386992,27.71637164504425,4.568631424516755
Hirekerur,51650.8684912751,49294.889027120495,100946.83518052154,9763.019283451818,9423.286684159615,19193.615890065576,120135.51633187348,3.6707542874133576,20.49491005387561,15.030908179365541
Tumkur,150273.6024882054,139973.44639332886,290249.4285393812,152920.6087910901,149209.0263315034,302138.69224993046,592390.5446635195,6.469586058116761,4.8092266691702035,14.263923108838632
Ajjampura,46100.73514458536,45060.059612004254,91156.24878895583,5728.389842969772,5655.193147473561,11371.810107525074,102527.48372611617,-2.4805308695673296,13.05296528591179,-0.38975918455754055
Nyamati,41892.629455591145,37981.4339423514,79878.19083589215,4682.447509110033,4609.333158831113,9282.072771051979,89161.41989848172,-0.6132624513155212,-0.5709724559765581,-0.8027241941411054
Anekal,192061.65974464416,160368.7478851483,352425.75285184395,89954.82789277787,75195.07265500752,165148.41999459596,517576.7983254521,46.14290106848008,177.45710483196606,80.04094646172936
Narasimharajapura,28706.061493225305,29915.404375136175,58638.48353094091,3728.538491067191,3722.509548331389,7463.5980943792265,66092.14037252986,3.0257754707006264,6.503044506216665,-0.6257923550097946
Srirangapatna,73153.7519335106,72900.15091491083,146055.65288984255,16786.58495032106,17340.47595489538,34131.15264581115,180197.88598956243,12.283250505984194,45.60312763325753,14.023263619369967
Chittapur,86983.6543984261,86706.00747455125,173698.36984993707,34841.261103465746,34451.12139611443,69286.77595696817,242983.52348916128,24.09849919612188,2.633586745028561,0.978349425137937
Gadag,89134.57343127276,86746.65114798806,175884.31659957024,95435.42871952069,95938.85203278593,191380.34489009774,367256.8829270552,3.286237158207471,12.493383493824268,10.61784036766278
Sirsi,62673.34317282029,61342.733776238274,124029.0163933925,31217.634686328263,31657.8171449015,62885.56816396539,186908.36442970912,20.286648271293018,-8.709186910377749,8.532669436059386
Mudhol,98928.37784651102,99066.13367279708,197993.17670271517,26065.17077073722,26132.006822926847,52205.066825499365,250190.674934334,16.928768606352676,24.127172382141886,17.356395788602427
Shahbadha,13315.681667343195,13189.804523810013,26516.255224278542,30594.520901814267,30668.675719958428,61258.53452113594,87775.10231728751,-0.29617078061791524,8.63414307463973,12.344826909433564
koppal,151160.08046937519,147262.09382008004,298412.6686093905,39750.99526315153,39615.48698325606,79371.09943915119,377771.4457014164,24.05395925008569,25.30465969604644,20.8241455388486
Mangalore,31403.43834927145,32525.437611121706,63930.2429562697,289311.723784279,293486.5813254107,582790.0171158569,646716.6737161228,20.90430560627122,39.35528846636446,9.11909089492276
Srirangapatna,73146.82286129039,72909.18246602008,146054.01707750134,16789.617392598542,17355.01814221454,34141.63284150708,180196.05552078344,1.415229919851055,45.6580687768794,15.597717578135326
Tarikere,53676.430702890735,53810.149290303845,107479.30243848468,17917.925243246747,18017.48409431768,35940.45973128715,143421.12061069885,0.42429299707822354,10.35722769207608,2.064798616174305
Chamarajanagara,143774.8437124946,144155.09997038514,287927.2622452544,34787.46315075098,35095.41155672504,69878.69968843609,357796.60083912674,8.154675806121093,20.125856490987054,1.0739886262218308
Srirangapatna,73157.44273707221,72901.74692110336,146061.88565769506,16790.364312257123,17347.188658420804,34138.84746329468,180195.21941289178,4.633660118721866,44.42318774735791,16.03768298737321
Bhalki,120859.74924056962,116151.90154469621,237018.9420325993,20743.071892461587,19593.17312098233,40341.8608197434,277356.30022450525,7.027215732231724,11.51440982518011,1.0179305618003331
Mudalagi,92834.84393696215,91817.76273154552,184646.38896071183,14699.378938475882,14440.694547896654,29135.558092158077,213773.61935516962,20.799792698056642,-4.214470432901091,15.516234705463706
Koratagere,76750.60093393306,75583.04978483787,152324.76635251442,7600.867881522352,7655.307449452792,15266.076000362002,167587.76106241083,2.6904223280634043,14.224858483693293,-0.0040175732354086335
